display,tooltips,purity,complexity,cost,processing,steps,imgsrc,labels,recipeIndexes,depIndexes,id
Crafting Table,,0,Infinity,Infinity,Infinity,,512 1024,,,,minecraft:crafting_table:*
Very Damaged Anvil,,0,Infinity,Infinity,Infinity,,2064 1008,,,12789 12790 12791 12793 12794 20591 26898 28259 43545 50709 58458,minecraft:anvil:2
Coal,,0,Infinity,Infinity,Infinity,,3840 1008,,,,minecraft:coal:*
Oak Wood Planks,,0,Infinity,Infinity,Infinity,,2480 736,,,,minecraft:planks:*
Torch,,0,Infinity,Infinity,Infinity,,1936 1104,,,,minecraft:torch:*
Oak Wood Slab,,0,Infinity,Infinity,Infinity,,816 752,,,,minecraft:wooden_slab:*
Sand,,0,Infinity,Infinity,Infinity,,1248 1072,,,,minecraft:sand:*
Dirt,,0,Infinity,Infinity,Infinity,,992 1024,,,,minecraft:dirt:*
Ink Sac,,0,Infinity,Infinity,Infinity,,1200 1024,,,,minecraft:dye:*
Cobblestone,,0,Infinity,Infinity,Infinity,,3904 1008,,,,minecraft:cobblestone:*
Oak Wood,,0,Infinity,Infinity,Infinity,,1728 736,,,,minecraft:log:*
Acacia Wood,,0,Infinity,Infinity,Infinity,,1776 736,,,,minecraft:log2:*
Obsidian,,0,Infinity,Infinity,Infinity,,2336 1056,,,,minecraft:obsidian:*
Skeleton Skull,,0,Infinity,Infinity,Infinity,,1408 1072,,,,minecraft:skull:*
Snow,,0,Infinity,Infinity,Infinity,,1616 1072,,,,minecraft:snow:*
Pumpkin,,0,Infinity,Infinity,Infinity,,160 1072,,,,minecraft:pumpkin:*
Enchanted Book,,0,Infinity,Infinity,Infinity,,1520 1024,,,,minecraft:enchanted_book:*
Nether Quartz Ore,,0,Infinity,Infinity,Infinity,,336 1072,,,,minecraft:quartz_ore:*
Dandelion,,0,Infinity,Infinity,Infinity,,2704 1104,,,,minecraft:yellow_flower:*
Poppy,,0,Infinity,Infinity,Infinity,,1280 240,,,,minecraft:red_flower:*
Grass Block,,0,Infinity,Infinity,Infinity,,3424 1040,,,,minecraft:grass:*
Shrub,,0,Infinity,Infinity,Infinity,,240 1104,,,,minecraft:tallgrass:*
Cactus,,0,Infinity,Infinity,Infinity,,3248 1008,,,,minecraft:cactus:*
Potato,,0,Infinity,Infinity,Infinity,,2496 1056,,,,minecraft:potato:*
Oak Leaves,,0,Infinity,Infinity,Infinity,,80 1056,,,,minecraft:leaves:*
Acacia Leaves,,0,Infinity,Infinity,Infinity,,80 1056,,,,minecraft:leaves2:*
Oak Sapling,,0,Infinity,Infinity,Infinity,,3632 736,,,,minecraft:sapling:*
Farmland,,0,Infinity,Infinity,Infinity,,2704 1040,,,,minecraft:farmland:*
White Stained Glass,,0,Infinity,Infinity,Infinity,,3392 1088,,,,minecraft:stained_glass:*
Iron Bars,,0,Infinity,Infinity,Infinity,,2720 368,,,,minecraft:iron_bars:*
Stone,,0,Infinity,Infinity,Infinity,,2016 1056,,,,minecraft:stone:*
Acacia Fence,,0,Infinity,Infinity,Infinity,,3200 720,,,,minecraft:acacia_fence:*
Acacia Wood Stairs,,0,Infinity,Infinity,Infinity,,1424 752,,,,minecraft:acacia_stairs:*
White Bed,,0,Infinity,Infinity,Infinity,,2480 1008,,,,minecraft:bed:*
Birch Fence,,0,Infinity,Infinity,Infinity,,3168 720,,,,minecraft:birch_fence:*
Birch Wood Stairs,,0,Infinity,Infinity,Infinity,,2832 1008,,,,minecraft:birch_stairs:*
Bricks,,0,Infinity,Infinity,Infinity,,3120 1008,,,,minecraft:brick_block:*
Clay,,0,Infinity,Infinity,Infinity,,3776 1008,,,,minecraft:clay:*
Clay,,0,Infinity,Infinity,Infinity,,3744 1008,,,,minecraft:clay_ball:*
Coal Ore,,0,Infinity,Infinity,Infinity,,3824 1008,,,,minecraft:coal_ore:*
Cobblestone Wall,,0,Infinity,Infinity,Infinity,,3872 1008,,,,minecraft:cobblestone_wall:*
Dark Oak Fence,,0,Infinity,Infinity,Infinity,,3216 720,,,,minecraft:dark_oak_fence:*
Dark Oak Wood Stairs,,0,Infinity,Infinity,Infinity,,1472 752,,,,minecraft:dark_oak_stairs:*
Diamond Ore,,0,Infinity,Infinity,Infinity,,848 1024,,,,minecraft:diamond_ore:*
