display,tooltips,purity,complexity,cost,processing,steps,viewBox,recipeIndexes,id
Air,,1,Infinity,Infinity,13884951.683187174,686,,16647 16642 16643 16644 16645 16646 16648 16649 16650 16651 16652 16653 16654 16655 16656 16657 16658 16659 16660 16661 16662 16663 16664 16665 16666 16667 16668 16669 16670 16671 16672 16673 16674 16675 16676 16677 16737 16738 16739 16740 16741 16742 16743 16744 16745 16746 16747 16748 16749 16750 16751 16752 16753 16754 16755 16756 16757 16758 16759 16760 16761 16762 16763 16764,minecraft:air:7
Ur-Ghast Spawner,,1,8468899133293.79,8468898497449.381,635844.409133064,297,576 7264,98722,twilightforest:boss_spawner:3
Snow Queen Spawner,,1,8468899087152.592,8468898451310.183,635842.409133064,295,640 7264,98723,twilightforest:boss_spawner:5
Galactic Potato,,1,8468898485815.708,8468898319863.938,165951.76982819368,77,5952 1152,83523,botania_tweaks:compressed_tiny_potato_8:0
Decuple Compressed Soul Sand,,1,4303488821805.3896,4303488820764.8154,1040.5742592592592,13,1952 64,93651,additionalcompression:soulsand_compressed:9
Decuple Compressed Dust,,1,4300777007820.871,4300776877341.8154,130479.05548097963,15,6656 32,93852,additionalcompression:dust_compressed:9
Decuple Compressed Sand,,1,4300002036426.8154,4300002036363.8154,63,11,4512 32,93569,additionalcompression:blocksand_compressed:9
Decuple Compressed Nether Gravel,,1,1613057878353.9639,1613057820089.211,58264.752932608906,55,320 64,93870,additionalcompression:gravelnether_compressed:9
Infinity Arcane Focus,,1,1279097965764.2053,1278854623509.8943,243342254.31104228,1506,7552 4992,48371 48370,"tconevo:part_arcane_focus:0:{Material:""infinity_metal""}"
Infinity Excavator Head,,1,1137003007621.4644,1136759665367.1533,243342254.31104228,1506,2624 5536,48323 48322,"tconstruct:excavator_head:0:{Material:""infinity_metal""}"
Infinity Broad Axe Head,,1,1137003007621.4644,1136759665367.1533,243342254.31104228,1506,7296 5248,48327 48326,"tconstruct:broad_axe_head:0:{Material:""infinity_metal""}"
Infinity Scythe Head,,1,1137003007621.4644,1136759665367.1533,243342254.31104228,1506,5248 6336,48329 48328,"tconstruct:scythe_head:0:{Material:""infinity_metal""}"
Infinity Large Sword Blade,,1,1137003007621.4644,1136759665367.1533,243342254.31104228,1506,2976 5888,48343 48342,"tconstruct:large_sword_blade:0:{Material:""infinity_metal""}"
Infinity Large Plate,,1,1137003007619.4644,1136759665367.1533,243342252.31104228,1504,5856 5856,48321 48320,"tconstruct:large_plate:0:{Material:""infinity_metal""}"
Infinity Hammer Head,,1,1137003007619.4644,1136759665367.1533,243342252.31104228,1504,3936 5664,48319 48318,"tconstruct:hammer_head:0:{Material:""infinity_metal""}"
Colossal Potato,,1,940988868157.763,940988702206.9932,165950.76982819368,76,5920 1152,83524,botania_tweaks:compressed_tiny_potato_7:0
Infinity Chestplate Core,,1,852813091348.0933,852569749093.7822,243342254.31104228,1506,4832 1600,48357 48356,"conarm:chest_core:0:{Material:""infinity_metal""}"
Decuple Compressed Gravel,,1,757942436933.2839,757942436870.2839,63,11,7936 32,93553,additionalcompression:gravel_compressed:9
Infinity Leggings Core,,1,710718133211.4077,710474790957.0967,243342254.31104228,1506,3840 1760,48359 48358,"conarm:leggings_core:0:{Material:""infinity_metal""}"
Infinity Pipe Piece,,1,568623175074.7222,568379832820.4111,243342254.31104228,1506,1856 4320,48365 48364,"plustic:pipe_piece:0:{Material:""infinity_metal""}"
Infinity Boots Core,,1,568623175074.7222,568379832820.4111,243342254.31104228,1506,7008 1568,48361 48360,"conarm:boots_core:0:{Material:""infinity_metal""}"
Infinity Helmet Core,,1,568623175074.7222,568379832820.4111,243342254.31104228,1506,4928 1696,48351 48350,"conarm:helmet_core:0:{Material:""infinity_metal""}"
Decuple Compressed Dirt,,1,547432403854.35754,547432403791.35754,63,11,6368 32,93581,additionalcompression:dirt_compressed:9
Nonuple Compressed Soul Sand,,1,478165425568.8871,478165424529.3128,1039.5742592592592,12,1920 64,93649 93650,additionalcompression:soulsand_compressed:8
Nonuple Compressed Dust,,1,477864227960.3683,477864097482.3128,130478.05548097963,14,6624 32,93850 93851,additionalcompression:dust_compressed:8
Nonuple Compressed Sand,,1,477778004102.3128,477778004040.3128,62,10,4480 32,93567 93568,additionalcompression:blocksand_compressed:8
Decuple Compressed Clay,,1,467343294745.87775,467343294710.30347,35.574259259259264,12,5056 32,93600,additionalcompression:clay_compressed:9
Tough Tool Rod,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,3328 6688,48317 48316,"tconstruct:tough_tool_rod:0:{Material:""infinity_metal""}"
Infinity Tough Binding,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,6272 6656,48325 48324,"tconstruct:tough_binding:0:{Material:""infinity_metal""}"
Infinity Pan,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,7840 6112,48339 48338,"tconstruct:pan_head:0:{Material:""infinity_metal""}"
Infinity Sign Plate,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,4160 6592,48341 48340,"tconstruct:sign_head:0:{Material:""infinity_metal""}"
Infinity Bowlimb,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,1664 5248,48345 48344,"tconstruct:bow_limb:0:{Material:""infinity_metal""}"
Infinity Armor Plates,,1,426528216938.0366,426284874683.7256,243342254.31104228,1506,2016 1504,48353 48352,"conarm:armor_plate:0:{Material:""infinity_metal""}"
Infinity Breastplate,,1,373619183057.20306,373353161813.43994,266021243.76310167,1514,7264 864,22795,avaritia:infinity_chestplate:0
World Breaker,Fortune X,1,295839781848.8535,295573760604.0904,266021244.76310167,1515,7424 864,22800,"avaritia:infinity_pickaxe:0:{ench:[{lvl:10s,id:35s}]}"
World Breaker,Fortune X,1,295839781848.8535,295573760604.0904,266021244.76310167,1515,7424 864,22800,"avaritia:infinity_pickaxe:0:{ench:[{id:35,lvl:10s}]}"
Infinity Sledge Hammer Head,,1,284433258801.3511,284189916547.04004,243342254.31104228,1506,2496 4992,48369 48368,"tcomplement:sledge_head:0:{Material:""infinity_metal""}"
